source_id, target_id, reporter
'10.7554/eLife.20914', '10.5061/dryad.gs7fv', 'Crossref'
'10.7554/eLife.16937', '10.5061/dryad.c261c', 'Crossref'
'10.1007/s10071-018-1194-y', '10.5061/dryad.jn0b9', 'Metrics Service Ingest'
'10.7554/eLife.21394', '10.5061/dryad.234/1', 'Crossref'
'10.7554/eLife.01179', '10.5061/dryad.6nr73', 'Crossref'
'10.7554/eLife.08494', '10.5061/dryad.s04bb', 'Crossref'
'10.7554/eLife.12217', '10.5061/dryad.5ff80', 'Crossref'
'10.7554/eLife.09248', '10.5061/dryad.987j0', 'Crossref'
'10.7554/eLife.05604', '10.5061/dryad.8qp37/1', 'Crossref'
'10.7554/eLife.19920', '10.5061/dryad.s58qh', 'Crossref'
'10.7554/eLife.20269', '10.5061/dryad.4v58b', 'Crossref'
'10.7554/eLife.05224', '10.5061/dryad.8gp03', 'Crossref'
'10.1007/s40192-017-0085-4', '10.5061/dryad.h505v', 'Crossref'
'10.7554/eLife.20707', '10.5061/dryad.28d2p', 'Crossref'
'10.7554/eLife.19084', '10.5061/dryad.v84c2', 'Crossref'
'10.7717/peerj.2856', '10.5061/dryad.2247c', 'Crossref'
'10.7717/peerj.1978', '10.5061/dryad.g1gd8', 'Crossref'
'10.7717/peerj.2098', '10.5061/dryad.v66p0', 'Crossref'
'10.7717/peerj.3194', '10.5061/dryad.mh2qf615', 'Crossref'
'10.1080/17470218.2016.1192209', '10.5061/dryad.5ck3n', 'Crossref'
'10.1186/s40294-017-0043-1', '10.5061/dryad.mq793', 'Crossref'
'10.3389/fevo.2016.00022', '10.5061/dryad.1rp0s', 'Crossref'
'10.3897/BDJ.4.e7606', '10.5061/DRYAD.HD5C7', 'Crossref'
'10.3897/BDJ.4.e7606', '10.5061/DRYAD.62285', 'Crossref'
'10.3897/BDJ.4.e7606', '10.5061/DRYAD.V21K1', 'Crossref'
'10.1002/spp2.1038', '10.5061/dryad.34r55', 'Crossref'
'10.1002/rse2.22', '10.5061/dryad.p69t1', 'Crossref'
'10.1002/spp2.1068', '10.5061/dryad.8nm35', 'Crossref'
'10.1002/spp2.1066', '10.5061/dryad.r140b', 'Crossref'
'10.1007/978-1-4939-8594-4_6', '10.5061/dryad.c9086', 'Crossref'
'10.1002/spp2.1069', '10.5061/dryad.508g5', 'Crossref'
